K,accuracy,precision,recall,f1score
1,0.6241935483870968,0.6409356725146199,0.6981617647058823,0.6662870414341003
3,0.6666666666666666,0.6799743230625583,0.7279411764705882,0.7010770462976346
5,0.6796774193548386,0.6904712762297901,0.7518382352941175,0.7180075913938143
7,0.7229032258064515,0.7318362081674776,0.7816176470588235,0.7536807964941392
9,0.6931182795698925,0.7038137623470441,0.7518382352941176,0.7258578598903676
11,0.712795698924731,0.7215380416087106,0.775,0.7449070297718305
13,0.6901075268817204,0.6957309941520468,0.763235294117647,0.7266256106735983
15,0.6931182795698924,0.7009269162210339,0.7625,0.7291002168208051
17,0.6898924731182795,0.6947599055571192,0.7691176470588236,0.7285582309847016
19,0.6932258064516128,0.6941760705044795,0.7746323529411765,0.7306617647058824
21,0.6932258064516129,0.6960959048691245,0.7746323529411765,0.7320401085842263
23,0.6964516129032259,0.6972424320605436,0.7801470588235293,0.7347410294594656
25,0.6962365591397849,0.6912643127426408,0.7922794117647058,0.7368593432627263
27,0.7031182795698925,0.6951681954246229,0.8047794117647058,0.7446907091643935
29,0.693010752688172,0.6828785839278503,0.8110294117647058,0.7402080652080653
31,0.6930107526881721,0.6813873558576748,0.8172794117647058,0.7417567567567568
33,0.6963440860215054,0.6820092416968174,0.8356617647058823,0.7490645985537626
35,0.693010752688172,0.6818755518572452,0.8294117647058823,0.7460741679317531
37,0.6832258064516129,0.6725427345197839,0.8235294117647058,0.7388297442239147
39,0.6799999999999999,0.6710721768771305,0.8172794117647058,0.7352023070598922
41,0.6668817204301075,0.6586370515661134,0.8172794117647058,0.7273888670947495
43,0.6765591397849462,0.6678918449971082,0.8172794117647058,0.7334701152506611
45,0.6699999999999999,0.6580912070385754,0.8231617647058822,0.7301324050708455
47,0.6832258064516129,0.6691254101935217,0.8290441176470589,0.7389584712962927
49,0.6832258064516129,0.6676968387649502,0.8352941176470589,0.7404599727977941
