K,accuracy,precision,recall,f1score
1,0.5789655172413793,0.3104978354978355,0.3122222222222223,0.3085756056808688
3,0.6024137931034482,0.3127705627705627,0.2511111111111111,0.2655742296918767
5,0.6286206896551724,0.31,0.1877777777777778,0.22828898225957048
7,0.6388505747126436,0.3477777777777778,0.15888888888888889,0.20735153735153733
9,0.6285057471264367,0.2783333333333333,0.11555555555555556,0.15710622710622707
11,0.6354022988505746,0.22833333333333333,0.05111111111111111,0.07895104895104896
13,0.6620689655172414,0.3,0.05,0.08484848484848485
15,0.6588505747126436,0.2666666666666667,0.05111111111111111,0.08356643356643356
17,0.6520689655172414,0.08333333333333333,0.02,0.03205128205128205
19,0.658735632183908,0.05,0.01,0.016666666666666666
21,0.675632183908046,0.03333333333333333,0.01,0.015384615384615385
23,0.6688505747126436,0.0,0.0,0.0
25,0.6789655172413793,0.0,0.0,0.0
27,0.6789655172413793,0.0,0.0,0.0
29,0.6789655172413793,0.0,0.0,0.0
31,0.6789655172413793,0.0,0.0,0.0
33,0.6789655172413793,0.0,0.0,0.0
35,0.6789655172413793,0.0,0.0,0.0
37,0.6789655172413793,0.0,0.0,0.0
39,0.6789655172413793,0.0,0.0,0.0
41,0.6789655172413793,0.0,0.0,0.0
43,0.6789655172413793,0.0,0.0,0.0
45,0.6789655172413793,0.0,0.0,0.0
47,0.6789655172413793,0.0,0.0,0.0
49,0.6789655172413793,0.0,0.0,0.0
