K,accuracy,precision,recall,f1score
1,0.6939336978810663,0.5680937212583486,0.5326210826210827,0.5453482685097273
3,0.6965994531784004,0.5681622311613237,0.5373219373219372,0.5493496775248244
5,0.7278024606971976,0.6397982840081791,0.5262108262108262,0.5722756489908235
7,0.7330314422419686,0.6404344375431332,0.5445868945868945,0.5834805427966687
9,0.7422590567327411,0.6581701631701631,0.5561253561253561,0.600573784651751
11,0.7422590567327411,0.6572084936552705,0.5602564102564104,0.6007605361262561
13,0.7552802460697199,0.6701980611980611,0.593874643874644,0.625952214307979
15,0.7540328092959672,0.6785970547757417,0.5757834757834758,0.618044313691744
17,0.7552631578947369,0.6785170913544227,0.5792022792022793,0.619603258431986
19,0.7501196172248804,0.6767321428571428,0.5680911680911681,0.610780992106902
21,0.7475051264524948,0.6645883954754922,0.5753561253561255,0.612414952718488
23,0.752717019822283,0.6768129861022568,0.575071225071225,0.6184572703496853
25,0.7435919343814081,0.6583667770138357,0.5602564102564103,0.6025591751852256
27,0.7370984278879016,0.6542542311731834,0.5378917378917378,0.5871776520885034
29,0.7501025290498975,0.6797488999006991,0.5527065527065527,0.6054883426976682
31,0.747488038277512,0.6810537831733484,0.5377492877492878,0.5966337431726438
33,0.751367053998633,0.6971849446849447,0.5264957264957264,0.5960796658060902
35,0.7526828434723172,0.6982210070631123,0.5264957264957264,0.597763602211968
37,0.7448906356801094,0.686644635578846,0.5116809116809117,0.5820957636004246
39,0.7422932330827068,0.675150660742766,0.5153846153846153,0.5805092639978813
41,0.7409603554340397,0.6816475225765843,0.5116809116809117,0.5787408730206406
43,0.7461893369788106,0.6926239744660797,0.507977207977208,0.58069927114718
45,0.752717019822283,0.7062685094378458,0.5192307692307692,0.5938405096345576
47,0.7409432672590569,0.6845403913824966,0.5041310541310541,0.572950867583992
49,0.7435577580314423,0.6888438190337502,0.5078347578347577,0.5772589577550884
