K,accuracy,precision,recall,f1score
1,0.8682330827067668,0.9038259109311741,0.8935714285714287,0.895330019600542
3,0.8787280701754387,0.8958852569779383,0.9216666666666666,0.9059352556021734
5,0.8805451127819548,0.8828874959039952,0.9383333333333332,0.9084907424835642
7,0.8840225563909774,0.8812420347176445,0.9468253968253968,0.9116820634980713
9,0.8857769423558898,0.8803832164313963,0.9524603174603176,0.9131503609124045
11,0.8875313283208021,0.875164565343238,0.9636507936507936,0.9155851479774381
13,0.8911027568922305,0.8778672680459408,0.9665079365079364,0.9183629257552159
15,0.8911340852130326,0.8762307450201888,0.9693650793650793,0.9186728974627947
17,0.8840225563909774,0.8731645209013331,0.9608730158730159,0.9130031866560977
19,0.8875626566416039,0.8757842458894792,0.9636507936507936,0.9157011528066974
21,0.8911340852130326,0.8776851397732373,0.9665873015873014,0.9183741613308698
23,0.8911340852130326,0.8776851397732373,0.9665873015873014,0.9183741613308698
25,0.8893796992481203,0.8775170725463465,0.9638095238095238,0.916844986280568
27,0.892888471177945,0.8780727366724619,0.9693650793650793,0.9197698120936091
29,0.8893483709273182,0.8755429960312663,0.9665873015873017,0.9169448206789979
31,0.892888471177945,0.8780727366724619,0.9693650793650793,0.9197698120936091
33,0.892888471177945,0.8780727366724619,0.9693650793650793,0.9197698120936091
35,0.892888471177945,0.8780727366724619,0.9693650793650793,0.9197698120936091
37,0.892888471177945,0.8780727366724619,0.9693650793650793,0.9197698120936091
39,0.8946428571428571,0.8782228868226122,0.9721428571428572,0.9212157786080688
41,0.8963972431077695,0.8809959960663096,0.9721428571428572,0.9225437464149099
43,0.8911340852130326,0.8772599350457069,0.9693650793650794,0.918772122698322
45,0.8911340852130326,0.8772599350457069,0.9693650793650794,0.918772122698322
47,0.8928571428571429,0.8785451960922899,0.9693650793650794,0.919715838953292
49,0.8893483709273182,0.8765980057730065,0.9665873015873017,0.9171663346264337
